scenario,language,test,mode,iteration,time,pkg,cores,gpu,dram,psys,cycles,l1d_misses,l1i_misses,llc_misses,branch_misses,ended
mandelbrot,c,O3,internal,3,6561587590,90.060791015625,17.46331787109375,,3.685791015625,,0,0,0,0,0,1761901810394042
mandelbrot,c,O3,internal,4,5956568270,82.8250732421875,16.9093017578125,,3.34979248046875,,0,0,0,0,0,1761901816350598
mandelbrot,c,O3,internal,5,6104371254,84.6231689453125,17.08489990234375,,3.43231201171875,,0,0,0,0,0,1761901822455031
mandelbrot,c,O3,internal,6,6143824130,85.03216552734375,17.06109619140625,,3.455322265625,,0,0,0,0,0,1761901828598879
mandelbrot,c,O3,internal,7,6036980471,83.87237548828125,17.085693359375,,3.4371337890625,,0,0,0,0,0,1761901834635871
mandelbrot,c,O3,internal,8,6531500218,89.68017578125,17.41912841796875,,3.6688232421875,,0,0,0,0,0,1761901841167371
mandelbrot,c,O3,internal,9,5998630449,83.27691650390625,16.9102783203125,,3.3721923828125,,0,0,0,0,0,1761901847166042
mandelbrot,c,O3,internal,10,6220720547,85.99200439453125,17.15374755859375,,3.497314453125,,0,0,0,0,0,1761901853386777
mandelbrot,c,O3,internal,11,6343331659,87.46331787109375,17.28240966796875,,3.566162109375,,0,0,0,0,0,1761901859730125
mandelbrot,c,O3,internal,12,6215166969,85.9107666015625,17.13800048828125,,3.494140625,,0,0,0,0,0,1761901865945316
mandelbrot,c,O3,internal,13,6317738162,87.1627197265625,17.25103759765625,,3.59332275390625,,0,0,0,0,0,1761901872263076
mandelbrot,c,O3,internal,14,6134418180,84.99554443359375,17.12225341796875,,3.44866943359375,,0,0,0,0,0,1761901878397477
mandelbrot,c,O3,internal,15,6024939832,83.6143798828125,16.9652099609375,,3.3875732421875,,0,0,0,0,0,1761901884422451
mandelbrot,c,O3,internal,16,6174169051,85.3739013671875,17.05767822265625,,3.4703369140625,,0,0,0,0,0,1761901890596677
mandelbrot,c,O3,internal,17,6568727685,90.054443359375,17.370849609375,,3.69000244140625,,0,0,0,0,0,1761901897165384
mandelbrot,c,O3,internal,18,6377694878,87.91693115234375,17.34295654296875,,3.62109375,,0,0,0,0,0,1761901903543125
mandelbrot,c,O3,internal,19,6063045271,84.1031494140625,17.0172119140625,,3.40960693359375,,0,0,0,0,0,1761901909606193
mandelbrot,c,O3,internal,20,6364001743,87.75872802734375,17.34173583984375,,3.57586669921875,,0,0,0,0,0,1761901915970208
mandelbrot,c,O3,internal,21,6559545107,90.09326171875,17.50146484375,,3.6856689453125,,0,0,0,0,0,1761901922529776
