scenario,language,test,mode,iteration,time,pkg,cores,gpu,dram,psys,cycles,cache_misses,branch_misses,ended
n-body,c,O3,internal,3,2088254385,92.1224365234375,69.0228271484375,,1.1627197265625,,5509133,86,151,1761751093212346
n-body,c,O3,internal,4,2092002688,92.2921142578125,69.18023681640625,,1.16436767578125,,5476088,112,109,1761751095304353
n-body,c,O3,internal,5,2133400888,94.69635009765625,71.10272216796875,,1.1868896484375,,5510185,8,52,1761751097437765
n-body,c,O3,internal,6,2121884771,93.6094970703125,70.1158447265625,,1.1826171875,,5602824,208,1013,1761751099559642
n-body,c,O3,internal,7,2130242552,94.55877685546875,70.992431640625,,1.18505859375,,5529081,4,38,1761751101689900
n-body,c,O3,internal,8,2101133381,92.9349365234375,69.68402099609375,,1.169921875,,5424640,112,66,1761751103791027
n-body,c,O3,internal,9,2099517580,92.44976806640625,69.23529052734375,,1.16864013671875,,5408437,106,62,1761751105890547
n-body,c,O3,internal,10,2095217264,91.19781494140625,67.97308349609375,,1.1668701171875,,5532644,85,52,1761751107985769
n-body,c,O3,internal,11,2101935680,93.43231201171875,70.16363525390625,,1.170654296875,,5496427,152,122,1761751110087705
n-body,c,O3,internal,12,2083792839,92.23455810546875,69.16192626953125,,1.15948486328125,,5571556,38,35,1761751112171474
n-body,c,O3,internal,13,2102010209,93.060302734375,69.79327392578125,,1.171142578125,,5512340,190,112,1761751114273514
n-body,c,O3,internal,14,2084027762,92.0511474609375,68.98199462890625,,1.16021728515625,,5547380,45,112,1761751116357535
n-body,c,O3,internal,15,2092475631,92.495849609375,69.30926513671875,,1.165283203125,,5546324,108,75,1761751118450025
n-body,c,O3,internal,16,2134869034,94.93255615234375,71.2952880859375,,1.188720703125,,5551033,101,52,1761751120584898
n-body,c,O3,internal,17,2101799960,92.0606689453125,68.78778076171875,,1.16943359375,,5465795,58,622,1761751122686704
n-body,c,O3,internal,18,2121859422,94.72564697265625,71.23736572265625,,1.181884765625,,5497100,132,703,1761751124808576
n-body,c,O3,internal,19,2126332330,93.7003173828125,70.1776123046875,,1.182861328125,,5529641,51,41,1761751126934904
n-body,c,O3,internal,20,2102443086,93.20660400390625,69.91168212890625,,1.17071533203125,,5488102,82,66,1761751129037345
