mode,language,scenario,time_mean,time_cv%,pkg_mean,pkg_cv%,cores_mean,cores_cv%,gpu_mean,gpu_cv%,ram_mean,ram_cv%,psys_mean,psys_cv%,cycles_mean,cycles_cv%,l1d_misses_mean,l1d_misses_cv%,l1i_misses_mean,l1i_misses_cv%,llc_misses_mean,llc_misses_cv%,branch_misses_mean,branch_misses_cv%,c1_core_residency_mean,c1_core_residency_cv%,c3_core_residency_mean,c3_core_residency_cv%,c6_core_residency_mean,c6_core_residency_cv%,c7_core_residency_mean,c7_core_residency_cv%,c2_pkg_residency_mean,c2_pkg_residency_cv%,c3_pkg_residency_mean,c3_pkg_residency_cv%,c6_pkg_residency_mean,c6_pkg_residency_cv%,c8_pkg_residency_mean,c8_pkg_residency_cv%,c10_pkg_residency_mean,c10_pkg_residency_cv%
internal,cpp,spectral-norm,152354.0,7.899,16.886,5.943,15.253,5.694,0.0,0.0,0.089,17.642,0.0,0.0,7325020245.65,8.065,87742951.683,2.922,1879941.767,30.289,33593.133,251.78,548138.2,103.291,0.0,0.0,278345.067,180.433,5305766.933,38.532,7330577.6,41.204,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cs,binary-trees,3219744.95,7.649,273.733,6.952,235.46,6.894,0.0,0.0,8.844,7.566,0.0,0.0,77937982505.5,8.958,907697132.833,5.399,145645908.367,10.971,45572409.2,3.746,72991262.267,10.55,0.0,0.0,152019247.467,20.213,4068102360.0,21.415,14581650029.333,11.062,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cs,fannkuch-redux,3071505.433,0.879,360.939,0.752,326.958,0.753,0.0,0.0,1.769,2.079,0.0,0.0,152560131107.2,0.695,18873821.65,27.078,32689131.233,5.665,530425.05,54.41,2310042226.3,0.085,0.0,0.0,3979564.267,42.346,117194002.667,30.14,26421378.667,118.351,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cs,fasta,223392.333,10.53,18.167,7.839,15.736,7.529,0.0,0.0,0.17,9.852,0.0,0.0,4210438770.5,5.712,15183361.217,11.157,8128742.367,19.179,160884.467,61.976,53110524.233,1.552,0.0,0.0,49181150.933,32.367,145663894.933,25.812,889577605.867,31.839,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cs,k-nucleotide,735671.233,5.351,55.109,5.809,46.872,6.208,0.0,0.0,1.036,3.213,0.0,0.0,11502520812.083,8.414,269596794.3,2.525,13926144.2,15.327,2575360.667,11.917,40304244.3,2.977,0.0,0.0,16778018.667,34.166,446539874.667,23.828,5625940664.0,8.878,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cs,mandelbrot,903350.633,4.091,103.484,4.064,93.513,4.071,0.0,0.0,0.543,5.287,0.0,0.0,43606075577.7,3.473,40473266.35,7.221,14882190.1,15.01,469337.1,33.966,22964492.333,6.504,0.0,0.0,2023198.933,80.229,46579202.667,43.036,220483597.333,26.515,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cs,n-body,3663130.533,0.499,135.453,1.241,94.937,1.731,0.0,0.0,2.107,1.989,0.0,0.0,17375759959.483,2.371,18670280.267,40.45,65431807.583,5.305,761197.067,59.915,8846477.367,26.984,0.0,0.0,94353049.6,11.836,2202877717.867,10.852,54178715262.933,0.943,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cs,pidigits,535390.717,2.752,20.411,1.105,14.522,1.599,0.0,0.0,0.306,3.112,0.0,0.0,2467731590.9,1.538,193681764.433,0.355,10004805.717,12.398,93611.783,33.313,1902597.65,10.298,0.0,0.0,17428439.467,37.076,344302813.867,18.31,7832626678.4,2.841,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cs,regex-redux,1234230.633,2.844,81.203,1.853,67.493,1.854,0.0,0.0,1.113,2.539,0.0,0.0,18574047467.367,2.377,103934176.267,14.759,23936956.517,13.775,921539.483,23.988,196442077.183,0.795,0.0,0.0,65048774.4,52.368,747073098.667,17.551,12103491229.333,4.774,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cs,reverse-complement,42242.55,9.994,2.305,10.117,1.862,10.536,0.0,0.0,0.057,7.785,0.0,0.0,435972437.15,14.492,4595783.433,8.686,1556637.817,45.584,512554.483,7.965,763703.717,21.046,0.0,0.0,3602767.467,123.752,147849865.6,19.641,196923776.0,23.882,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
